==== zs_oxygen_b4_rec_20260922_205535_2.txt
SPAWN t=7.88 Roma p=[1432, -844, -95]
t=  8.91 Oleg   bot          st=hunt     intent=hunt     p=[1308, -843, -96] wish=[-1, 0] goal=[1379, 420, -64] path ok=1 reach=0 i=2 n=18 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  9.12 Oleg   bot          st=hunt     intent=hunt     p=[1266, -836, -96] wish=[-0.97, 0.23] goal=[1379, 420, -64] path ok=1 reach=0 i=2 n=18 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  9.33 Oleg   bot          st=hunt     intent=hunt     p=[1225, -824, -96] wish=[-0.48, 0.88] goal=[1379, 420, -64] path ok=1 reach=0 i=3 n=18 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  9.55 Oleg   bot          st=hunt     intent=hunt     p=[1204, -786, -96] wish=[-0.13, 0.99] goal=[1379, 420, -64] path ok=1 reach=0 i=3 n=18 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  9.76 Oleg   bot          st=hunt     intent=hunt     p=[1197, -744, -96] wish=[-0.05, 1] goal=[1379, 420, -64] path ok=1 reach=0 i=4 n=18 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  9.97 Oleg   bot          st=hunt     intent=hunt     p=[1194, -702, -96] wish=[-0.13, 0.99] goal=[1379, 420, -64] path ok=1 reach=0 i=4 n=18 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t= 10.18 Oleg   bot          st=hunt     intent=hunt     p=[1186, -660, -96] wish=[-0.29, 0.96] goal=[1379, 420, -64] path ok=1 reach=0 i=4 n=18 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t= 10.39 Roma   bot          st=wander   intent=wander   p=[1128, -400, -96] wish=[0.01, -1] goal=[1129, -462, -94] path ok=1 reach=1 i=3 n=6 len=457 endp=[1129, -462, -94] door=None comp=2120 gcomp=None mode=direct
t= 10.39 Oleg   bot          st=hunt     intent=hunt     p=[1176, -618, -96] wish=[-0.16, 0.99] goal=[1379, 420, -64] path ok=1 reach=0 i=5 n=18 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t= 10.61 Roma   bot          st=wander   intent=wander   p=[1129, -420, -96] wish=[0.01, -1] goal=[1129, -494, -94] path ok=1 reach=1 i=3 n=6 len=457 endp=[1129, -462, -94] door=None comp=2120 gcomp=None mode=direct
t= 10.61 Oleg   bot          st=hunt     intent=hunt     p=[1169, -576, -96] wish=[-0.18, 0.98] goal=[1379, 420, -64] path ok=1 reach=0 i=6 n=18 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t= 10.82 Roma   bot          st=wander   intent=wander   p=[1129, -441, -96] wish=[0.01, -1] goal=[1129, -494, -94] path ok=1 reach=1 i=3 n=6 len=457 endp=[1129, -462, -94] door=None comp=2120 gcomp=None mode=direct
t= 10.82 Oleg   bot          st=hunt     intent=hunt     p=[1159, -534, -96] wish=[-0.34, 0.94] goal=[1379, 420, -64] path ok=1 reach=0 i=1 n=13 len=894 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t= 11.03 Roma   bot          st=wander   intent=wander   p=[1129, -451, -96] wish=[0, 1] goal=[1193, -110, -94] path ok=1 reach=1 i=1 n=5 len=368 endp=[1193, -110, -94] door=None comp=2120 gcomp=None mode=path
t= 11.03 Oleg   bot          st=hunt     intent=hunt     p=[1149, -493, -96] wish=[0.4, 0.92] goal=[1379, 420, -64] path ok=1 reach=0 i=3 n=13 len=894 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t= 11.24 Roma   bot          st=wander   intent=wander   p=[1129, -434, -96] wish=[0, 1] goal=[1193, -110, -94] path ok=1 reach=1 i=1 n=5 len=368 endp=[1193, -110, -94] door=None comp=2120 gcomp=None mode=path
t= 11.24 Oleg   bot          st=hunt     intent=hunt     p=[1150, -452, -96] wish=[-0.07, 1] goal=[1379, 420, -64] path ok=1 reach=0 i=3 n=13 len=894 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t= 11.45 Roma   bot          st=wander   intent=wander   p=[1129, -413, -96] wish=[0, 1] goal=[1193, -110, -94] path ok=1 reach=1 i=1 n=5 len=368 endp=[1193, -110, -94] door=None comp=2120 gcomp=None mode=path
t= 11.45 Oleg   bot          st=hunt     intent=hunt     p=[1146, -415, -96] wish=[0.41, 0.91] goal=[1379, 420, -64] path ok=1 reach=0 i=4 n=13 len=894 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
==== zs_oxygen_b4_rec_20260922_205559_4.txt
t=  5.30 Roma   bot          st=wander   intent=wander   p=[1136, -410, -96] wish=[-0.15, -0.99] goal=[1257, -686, -94] path ok=1 reach=1 i=4 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  5.52 Roma   bot          st=wander   intent=wander   p=[1133, -430, -96] wish=[0.12, -0.99] goal=[1257, -686, -94] path ok=1 reach=1 i=4 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  5.73 Roma   bot          st=wander   intent=wander   p=[1137, -451, -96] wish=[0.41, -0.91] goal=[1257, -686, -94] path ok=1 reach=1 i=4 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  5.94 Roma   bot          st=wander   intent=wander   p=[1145, -470, -96] wish=[0.37, -0.93] goal=[1257, -686, -94] path ok=1 reach=1 i=5 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  6.15 Roma   bot          st=wander   intent=wander   p=[1151, -489, -96] wish=[0.23, -0.97] goal=[1257, -686, -94] path ok=1 reach=1 i=5 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  6.36 Roma   bot          st=wander   intent=wander   p=[1156, -509, -96] wish=[0.12, -0.99] goal=[1257, -686, -94] path ok=1 reach=1 i=6 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  6.58 Roma   bot          st=wander   intent=wander   p=[1158, -529, -96] wish=[0.06, -1] goal=[1257, -686, -94] path ok=1 reach=1 i=7 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  6.79 Roma   bot          st=wander   intent=wander   p=[1160, -549, -96] wish=[0.11, -0.99] goal=[1257, -686, -94] path ok=1 reach=1 i=7 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  7.00 Roma   bot          st=wander   intent=wander   p=[1163, -570, -96] wish=[0.37, -0.93] goal=[1257, -686, -94] path ok=1 reach=1 i=7 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  7.21 Roma   bot          st=wander   intent=wander   p=[1171, -588, -96] wish=[0.48, -0.88] goal=[1257, -686, -94] path ok=1 reach=1 i=8 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  7.42 Roma   bot          st=wander   intent=wander   p=[1180, -607, -96] wish=[0.32, -0.95] goal=[1257, -686, -94] path ok=1 reach=1 i=8 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  7.64 Roma   bot          st=wander   intent=wander   p=[1186, -626, -96] wish=[0.16, -0.99] goal=[1257, -686, -94] path ok=1 reach=1 i=9 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  7.85 Roma   bot          st=wander   intent=wander   p=[1189, -647, -96] wish=[0.09, -1] goal=[1257, -686, -94] path ok=1 reach=1 i=9 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  8.06 Roma   bot          st=wander   intent=wander   p=[1191, -667, -96] wish=[0.05, -1] goal=[1257, -686, -94] path ok=1 reach=1 i=9 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  8.27 Roma   bot          st=wander   intent=wander   p=[1192, -687, -96] wish=[0.03, -1] goal=[1257, -686, -94] path ok=1 reach=1 i=9 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  8.48 Roma   bot          st=wander   intent=wander   p=[1192, -708, -96] wish=[0.01, -1] goal=[1257, -686, -94] path ok=1 reach=1 i=9 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  8.70 Roma   bot          st=wander   intent=wander   p=[1193, -728, -96] wish=[0.01, -1] goal=[1257, -686, -94] path ok=1 reach=1 i=9 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
t=  8.91 Roma   bot          st=wander   intent=wander   p=[1193, -749, -96] wish=[0.18, -0.98] goal=[1257, -686, -94] path ok=1 reach=1 i=9 n=18 len=1054 endp=[1257, -686, -94] door=None comp=2120 gcomp=None mode=path
